Course Code,Course Name,Course URL,Offering Terms,Enrolment Conditions,Outline URL,Overview
ACCT3583,Management Accounting 2,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT3583/,"Term 1, Term 2, Term 3",Prerequisite: ACCT2522,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT3583,"This course explores the link between management accounting information and strategic issues. Specifically, it focuses on how management accounting information facilitates: (1) the formulation and implementation of organisational strategy and (2) the evaluation of organisational strategy by focusing on four perspectives of strategic performance (i.e. shareholder perspective, customer perspective, internal process perspective and, learning and growth perspective)."
ACCT3601,Global Financial Reporting and Analysis,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT3601/,Term 3,Prerequisite: ACCT2542,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT3601,"
              
With the increasing globalisation of business and capital markets, there is a more extensive use of cross-border financial information.  This course considers the key issues in international financial reporting and analysis.  Topics include: the types of differences in national financial reporting practices; the reasons for the differences; the progress of the International Accounting Standards Board in reducing the diversity; foreign exchange risk and foreign currency accounting issues; reporting and disclosure in developed countries including the USA, Japan and the members of the European Union; the role of accounting in developing countries and Eastern Europe; financial reporting in emerging capital markets including those in the Asia-Pacific region; and analysis of country-specific financial statements in the cultural, business and legal context of each country.  Numerical examples and cases are used to highlight important concepts and issues.
                                  "
ACCT3610,Business Analysis and Valuation,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT3610/,"Term 1, Term 2",Prerequisite: ACCT2542 and FINS1613,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT3610,"
              
This course is about the analysis of financial information arising primarily from the financial reports of entities. Fundamental analysis techniques are examined in detail with particular emphasis on the application of these techniques in equity (share) valuation decisions. Some attention is also given to credit assessment and debt valuation decisions. The techniques are applied in cases and projects involving listed companies. Topics considered include fundamental ratio analysis using reported and ' off-balance sheet' information,an analysis of accrual accounting and cash flows, the analysis of profitability, growth and valuation generation in a firm, determining the quality of financial reports, forecasting earnings and cash flows, pro-forma analysis for strategy and planning, analysis of risk, and a comparison of alternative valuation models.
                                  "
ACCT3625,"Integrated Reporting, Integrated Thinking and Value Creation",https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT3625/,Term 3,"Pre-requisite: Completed 72 UOC, 65+ WAM",http://www.handbook.unsw.edu.au/general/2018/SSAPO/previousEditions.html,"This course is concerned with how organisations create and preserve value over time employing effective business models and a broader range of resources (capitals) than in conventional analyses.  This value creation process is currently being reported upon under the international initiative of Integrated Reporting <IR>, incorporating Integrated Thinking, which is enhancing the way organizations think holistically, plan strategically and report value outcomes.  Integrated Thinking focuses on how executives make business decisions that best utilise all their available resources and relationships (not just financial but including their staff, intellectual property, environmental, and supplier and customer relationships) to implement a strategy for long term value creation. Integrated Reporting then focuses on how they communicate (both internally and to external stakeholders) their unique value creation story, in order to address the question, “Why should I, or others in society, support this organisation?”  The course is designed to be highly interactive with many illustrations and cases."
ACCT3708,Auditing and Assurance Services,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT3708/,"Term 1, Term 2, Term 3",Prerequisite: ACCT2542 or approval from the School,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT3708,"
              
This course examines the practice of auditing and the underlying concepts, auditors responsibilities and the audit environment. Although the focus of attention is on audits carried out under the provisions of the Corporations Law, reference is also made to other forms of audit. The course is intended to provide an overview of the audit process as it exists in Australia. Both CIS and computer-assisted audit techniques are an integral part of this course.
                                  "
ACCT4796,Thesis (Accounting) A,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT4796/,Term 1, ,http://www.handbook.unsw.edu.au/general/2018/SSAPO/previousEditions.html,"Honours students complete a thesis under the direction of a supervisor. The thesis requires the reporting of research in an approved topic area in accounting including a literature review, analysis of a research problem along with presentation of research methods and data analysis."
ACCT4797,Thesis (Accounting) B,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT4797/,Term 2,Prerequisite: Must be enrolled in program 4501 (Accounting),http://www.handbook.unsw.edu.au/general/2018/SSAPO/previousEditions.html,"Honours students complete a thesis under the direction of a supervisor. The thesis requires the reporting of research in an approved topic area in accounting including a literature review, analysis of a research problem along with presentation of research methods and data analysis."
ACCT4798,Thesis (Accounting) C,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT4798/,Term 3, ,http://www.handbook.unsw.edu.au/general/2018/SSAPO/previousEditions.html,"Honours students complete a thesis under the direction of a supervisor. The thesis requires the reporting of research in an approved topic area in accounting including a literature review, analysis of a research problem along with presentation of research methods and data analysis."
ACCT4809,Current Developments in Auditing Research,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT4809/,Term 1,Prerequisite: Must be enrolled in program 4501 (Accounting),https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT4809,"?Current Developments in Auditing Research is designed to extend disciplinary perspectives in auditing and provide training for research in auditing and assurance services. The course focuses on current areas of research in auditing and related assurance services. The following topics will be covered: some of the main empirical and theoretical developments in auditing research; the main research methods used in auditing research; alternative research methods; the practical implications of current research in auditing; the relationship of research to practice and standard-setting, and statistical tools to use in audit research."
ACCT4851,Current Developments in Accounting Research,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT4851/,"Term 1, Term 2",Prerequisite: Must be enrolled in program 4501 (Accounting),https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT4851,"Review of alternative approaches to the development of theories in external reporting. Explication and evaluation of substantive theories and associated research studies. Examination of research findings related to the accounting and reporting environment, agency cost and financial contracting, the properties of reported accounting numbers, predictive value of accounting information, the use of information in capital markets, and the use of accounting reports by individual decision makers."
ACCT4852,Current Developments in Accounting Research,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT4852/,Term 2,Prerequisite: Must be enrolled in program 4501 (Accounting),https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT4852,"The aim of this course is to equip students with a comprehensive understanding of contemporary management accounting research, which emanates from different philosophical perspectives and employs different theories and research methods. Research is divided into two broad streams: work that seeks (a) to explain and design, and (b) to understand and interpret the practice of management accounting in organisation and societies. Topics covered include design approaches using behavioural decision theory, contingency theory, institutional theory, and socio-material approaches."
ACCT4897,Seminar in Research Methodology,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT4897/,Term 1,Prerequisite: Must be enrolled in program 4501 (Accounting),https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT4897,"
              
To assist BCom Hons students in completion of research project requirement. May consist of an examinable readings program defined to meet the needs of a particular student or a formal program undertaken by a group of students whose research projects are in a common area.
                                  "
ACTL1101,Introduction to Actuarial Studies,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL1101/,Term 3,"Prerequisite:MATH1151 AND (Enrolment in Program 3586, 3587, 3588, 3589, 3155, 3154 or 4737)",https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL1101,"This course is designed to provide an introduction to actuarial studies.  It covers the fundamental modelling tools used by actuaries (probability, statistics, financial mathematics), as well as some of the basic actuarial models in areas such as insurance, superannuation or financial risk management, and which will be studied in great depth during the remainder of the degree. The main areas of actuarial practice and research are also introduced and discussed. Finally, labs will provide a foundation in programming, as well as data manipulation and visualisation, with a particular focus on R."
ACTL2100,Industrial Training 1 (Co-op),https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL2100/,Term 2,Prerequisite: ACTL1001,https://www.business.unsw.edu.au/degrees-courses/course-outlines,
ACTL2101,Industry Placement 1,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL2101/,"Summer Term, Term 3",Prerequisite:Enrolment in Program 3587,https://www.business.unsw.edu.au/degrees-courses/course-outlines,"The main aims of this course is to provide the Scholars with practical experience in Actuarial Studies that complements their academic studies, and to give Sponsors enthusiastic and talented young achievers who may wish to work with them upon graduation.  Industry placement 1 is intended to be an introduction to the Sponsor's business, and the structures and policies in place to support the core business activities. Ideally, the Scholars should interact with several areas of the organization. Note: Only available to Actuarial Studies,  UNSW Business School Co-op Scholars"
ACTL2102,Foundations of Actuarial Models,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL2102/,Term 2,"Prerequisite:ACTL2131 or MATH2901 and (enrolment in 3154, 3155, 3586, 3587, 3588, 3589 or 4737)",https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL2102,"This course introduces the stochastic models used by actuaries to model both liabilities and assets and illustrates their applications in actuarial work. Topics covered include main features of a Markov chain and applications to experience rating; Markov process models and applications to insurance, survival, sickness and marriage models; simple time series models including random walk and auto-regressive models and their application to investment variables; methods for simulation of a stochastic process. Students will be expected to implement models using the R software in a numerical computer package."
ACTL2111,Financial Mathematics for Actuaries,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL2111/,"Term 1, Term 2","Pre-requsite: MATH1251 AND (ACTL1101 OR in MATHE1, MATHM1 or MATHT1 majors)",https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL2111,"This course develops the financial mathematics required for the analysis of financial and insurance transactions. Topics covered include: mathematics of compound interest; valuation of cash flows of simple insurance contracts; analysis and valuation of annuities, bonds, loans and other securities; yield curves and immunisation; introduction to stochastic interest rate models and actuarial applications."
ACTL2131,Probability and Mathematical Statistics,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL2131/,"Term 1, Term 2",Prerequisite: ACTL1101 AND (MATH1251 or MATH1241 ),https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL2131,"This course covers probability and statistics topics relevant to actuarial studies. Topics covered include univariate/multivariate random variables, moments, probability generating functions, moment generating functions, marginal and conditional distributions, sampling distributions, estimation methods, hypothesis tests, regression, analysis of variance. Examples relevant to actuarial studies, finance and insurance are used to illustrate the application of the topics covered."
ACTL3141,Actuarial Models and Statistics,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL3141/,Term 1,Prerequisite: (ACTL2131 or MATH2901) and ACTL2102,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL3141,"This course covers survival models, their estimation and application to mortality and other decrements. Specific topics include: the concept of a survival model and actuarial notation; estimation of lifetime distributions; multiple state models; maximum likelihood estimation of transition intensities; construction of multiple decrement tables; the binomial model of mortality and its estimation; models with transition intensities depending on age and duration; the census approximation and formulae; statistical comparison of crude rates with standard table; graduation of crude estimates and tests of fidelity and smoothness; analysis of mortality/morbidity and the main forms of selection; models for projection of populations. The analysis of data using numerical computer packages developed during the course will form part of the course assessment."
ACTL3142,Actuarial Data and Analysis,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL3142/,Term 2,Pre-requisite: ACTL2131 OR (MATH2931 and in B. Data Science and Decisions (3959)),https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL3142,"This course covers the actuarial professional syllabus for data analysis including techniques for mortality, health, and insurance data used in actuarial analysis and decision-making. The course covers aspects of data analysis including exploratory data analysis, data checking and cleaning, and data visualization; classification and prediction with regression and generalized linear models; descriptive, inferential and predictive analysis and models; and statistical and machine learning including supervised and unsupervised learning. The course also covers ethical, regulatory and professional issues, and risks and risk management associated with using data and data analysis. A particular focus will be placed on communication of technical results for business applications."
ACTL3151,Life Contingencies,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL3151/,Term 1,Prerequisite: ACTL2111 and ACTL2102,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL3151,"This course covers the techniques for deriving the value for pricing and reserving purposes of life insurance risks, including an appreciation of the analysis of change on the examination of the assumptions. Students will use spreadsheets to perform computations and be given exercises that require participation in teams. The course also covers contemporary management issues in life insurance including longevity, premium rating, selection and capital management. This course will cover the requirements for the Actuaries Institute CT5 course and students gaining at least a credit assessment will be recommended for exemption from the CT5 course."
ACTL3162,General Insurance Techniques,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL3162/,Term 3,"Pre-requisite: ACTL2102 or (MATH2901 AND MATHE1, MATHM1 or MATHT1 major)",https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL3162,"This course covers the actuarial mathematics, statistics and models used in non-life insurance actuarial practice. Topics covered include: basic concepts of decision theory and Bayesian statistics; loss distributions and reinsurance, risk models including compound Poisson; estimation of aggregate claims distribution; probability of ruin; premium rating and credibility; experience rating systems; claims reserving for loss run-off data and generalised linear models. Students will apply these techniques with respect to principles of effective general insurance management. This course will cover the requirements for the Actuaries Institute CT6 course and students gaining at least a credit assessment will be recommended for exemption from the CT6 course."
ACTL3182,Asset-Liability and Derivative Models,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL3182/,Term 3,Prerequisite: ACTL2111 and ACTL2102,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL3182,"This course is to provide students with an appreciation of the mathematical and economic models of investment markets and highlight their application (and shortcomings) in asset-liability management for insurance, superannuation and funds management and in the pricing of derivatives. "
ACTL3191,Superannuation and Retirement Benefits,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL3191/,Term 1,Prerequisites: ACTL2111 or ACTL2131,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL3191,"This course provides a comprehensive analysis of the economics and finance of retirement income provision. It is designed to provide students with a solid understanding of the theoretical and public-policy issues associated with the design and implementation of policies for retirement income provision in Australia and internationally. Topics covered include: demographic trends and the economic impact of population ageing; rationale for public provision and/or regulation of private retirement income provision; assessment of alternative models for retirement income provision; retirement income provision in Australia; the taxation and regulation of retirement savings and benefits; the structure, performance and efficiency of the superannuation industry; and international comparisons in policy design and implementation."
ACTL3192,Retirement Saving and Spending Over the Lifecycle,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL3192/,Term 3,Prerequisites: ACTL2111 or ACTL2131,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL3192,"This course examines saving and spending decisions by individuals and households over the lifecycle in the context of national retirement savings and incomes policies. We examine the economic and financial risks facing both individuals and product providers, as well as behavioural explanations for deviations from economic rationality and the lifecycle model. Topics covered include: a taxonomy of the lifecycle; lifecycle theories of consumption and saving; investment strategy, human capital and the retirement decision: risks facing individual retirees and providers of retirement income products (investment risk, longevity risk, interest rate risk, inflation risk, replacement risk); market failure in the retirement benefit market; behavioural explanations for non-rational behaviour including myopia, procrastination, mental accounting, complexity, framing, loss aversion etc."
ACTL3202,Industry Placement 2,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL3202/,"Term 1, Term 2",Prerequisite: ACTL2101 and enrolment in program 3587,https://www.business.unsw.edu.au/degrees-courses/course-outlines,This course provides scholars with a practical application of the  principles of actuarial studies in an industry environment.
ACTL3303,Industry Placement 3,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL3303/,"Term 2, Term 3",Prerequisite: ACTL3202 and enrolment in program 3587,https://www.business.unsw.edu.au/degrees-courses/course-outlines,This course provides scholars with a practical application of the principles of actuarial studies in an industry environment.
ACTL4001,Actuarial Theory and Practice A,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL4001/,Term 1,"Pre-requisite: ACCT1511, ACTL3141, ACTL3182, FINS1613, ACTL3162, ACTL3151, ECON1102, 60+ WAM.
Note: Students in 3587 may complete ACTL3141 as a co-requisite",https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL4001,"This course develops the theory and practice underlying the actuarial management of risk-based and other products offered by financial institutions. The course draws examples from actuarial practice and discusses implications for life insurance, general insurance, superannuation, asset-liability management and other areas where actuaries are involved in product design, pricing, reserving, investment and surplus management. The course emphasises recent developments in actuarial theory."
ACTL4002,Actuarial Theory and Practice B,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL4002/,Term 2,"Pre-requisite: ACTL4001,ACTL3162 and ACTL3182",https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL4002,"This course develops the theory and practice underlying the actuarial management of risk-based and other products offered by financial institutions. It draws examples from actuarial practice and discusses implications for life insurance, general insurance, superannuation, asset-liability management and other areas where actuaries are involved in product design, pricing, reserving, investment and surplus management. The course emphasises recent developments in actuarial theory."
ACTL4003,Research Methods in Risk and Actuarial Studies,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL4003/,"Term 1, Term 2, Term 3",Students must be in Actuarial Studies (Honours).,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL4003,"This course is designed as a research methods course for research students in the areas of actuarial modelling in insurance risk, general insurance, life insurance, superannuation, and financial economics. As part of the course, students will learn to develop a full research proposal, critique and communicate research in a range of formats to a variety of audiences, apply the methodology of scientific research, as well as gain exposure to the presentation of research in relevant journals. Enrolment requires school approval."
ACTL4010,Thesis (Actuarial Studies) A,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL4010/,Term 1, ,http://www.handbook.unsw.edu.au/general/2018/SSAPO/previousEditions.html,"Honours students complete a thesis under the direction of a supervisor. The thesis requires the reporting of research in an approved topic area in actuarial studies including a literature review, analysis of a research problem along with presentation of research methods and data analysis."
ACTL4011,Thesis (Actuarial Studies) B,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL4011/,Term 2, ,http://www.handbook.unsw.edu.au/general/2018/SSAPO/previousEditions.html,"Honours students complete a thesis under the direction of a supervisor. The thesis requires the reporting of research in an approved topic area in actuarial studies including a literature review, analysis of a research problem along with presentation of research methods and data analysis."
ACTL4012,Thesis (Actuarial Studies) C,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL4012/,Term 3, ,http://www.handbook.unsw.edu.au/general/2018/SSAPO/previousEditions.html,"Honours students complete a thesis under the direction of a supervisor. The thesis requires the reporting of research in an approved topic area in actuarial studies including a literature review, analysis of a research problem along with presentation of research methods and data analysis."
ACTL4301,Models for Risk Management,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL4301/,Term 2,Prerequisites: ACTL2102 and ACTL3162.,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL4301,"This course explores quantitative methods of risk measurement and modelling in financial institutions, including insurers, reinsurers, superannuation funds, and banks, and the major types of risks encountered therein. Topics covered include: risk measures; multivariate models for risks; copulas and dependence models; extreme value theory and tails of losses; time series techniques. The links between the different modelling tools are explored, and are further illustrated with models used in different risk types."
ACTL4302,Risk and Capital Management,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL4302/,Term 3,"Completed at least two of the following courses ACTL3141, ACTL3162 & ACTL3182.",https://www.business.unsw.edu.au/degrees-courses/course-outlines,"This course covers the motivations and techniques for risk and capital management in financial institutions, including insurers, reinsurers, superannuation funds, and banks and the major types of risks encountered. Topics covered include: economic and regulatory capital; regulatory frameworks for banks and insurers; quantitative and qualitative issues of measuring and management of market risk, credit risk, interest rate risk, operational risk, liquidity risk and model risk, with particular emphasis on data issues met when quantifying those risks; scenario analysis and stress testing methods. Together with ACTL4301/ACTL5301 it is designed to cover the course topics for the professional actuarial Enterprise Risk Management / CERA qualification"
ACTL4303,Asset-Liability Management,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL4303/, ,Pre-requisite: ACTL3182,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACTL4303,"This course covers the knowledge, skills and judgement necessary to understand investment and asset liability modelling with an emphasis on practical issues. It covers the design and monitoring of investment strategies for a range of liability profiles including life insurance, general insurance and superannuation funds. There is an emphasis on investment and asset issues of relevance for the management of liabilities. The course has been designed to cover the International Actuarial Association syllabus covering Investments and Asset Analysis, and the Investments and Asset-liability Management component of the Institute of Actuaries of Australia part II professional syllabus."
ACTL4305,Actuarial Data Analytic Applications,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACTL4305/,Term 3,Pre-requisite: ACTL3142,https://www.business.unsw.edu.au/degrees-courses/course-outlines,"This course covers the actuarial professional associateship syllabus for the data analytics process. It combines data analytics and modelling concepts with the practical applications of modern analytical tools and techniques, as well as their actuarial applications. This course covers the key iterative steps involved in building a model - business understanding, data understanding and preparation, modelling, evaluation, communication and deployment. Particular focus will be on the selection of appropriate predictive modelling techniques for a stated situation and how to evaluate the suitability of a model, taking into account business context and objectives, as well as on the communication of modelling results to a range of business decision making audiences."
ADAD0600,Transmedia Storytelling Studio,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ADAD0600/, , ,https://handbook.artdesign.unsw.edu.au/scripts/getoutline.php,"Transmedia storytelling is the practice of designing, sharing, and participating in a cohesive story experience across multiple traditional and digital delivery platforms - for entertainment, advertising and marketing, or social change."
ADAD1001,Studio Gateway 1,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ADAD1001/, , ,https://handbook.artdesign.unsw.edu.au/scripts/getoutline.php,"This course introduces you to studio practice in contemporary Art, Media and Design. One of two Gateway studios, the course underpins your future development as a studio practitioner by allowing you to conceptualise and situate your practice through a series of seminars, workshops and projects designed to challenge ideas around practice and creativity."
ADAD1002,Studio Gateway 2,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ADAD1002/, , ,https://handbook.artdesign.unsw.edu.au/scripts/getoutline.php,"Studio Gateway 2 introduces you to studio practice in contemporary Art, Media and Design. The course underpins your ongoing development as a studio practitioner by allowing you to conceptualise and situate your practice through a series of seminars, workshops and projects designed to challenge ideas around practice and creativity. The course will enable you to work collaboratively and independently, using self and peer evaluation and reflection, and to demonstrate an understanding of, and an ability to use, conceptual and experimental creativity and idea generation. Major themes addressed include: contexts and spaces; transformation and experimentation; and identity."
ADAD1100,"Communication in Art, Design and Media",https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ADAD1100/, , ,https://handbook.artdesign.unsw.edu.au/scripts/getoutline.php,"Are you a good Art, Design and Media communicator?"
ADAD2400,Introduction to Systems for Interactive Media,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ADAD2400/, , ,https://handbook.artdesign.unsw.edu.au/scripts/getoutline.php,"In this course students will be introduced to algorithms and the basics of programming interactive systems for artists and designers. Students will learn to work with leading development tools for programming interactive media experiences and will learn core principles of computer programming, software design patterns and data structures. They will learn about the core paradigms for creative programming, including code-based and visual programming environments. The course will cover the basics of designing interactive systems, dealing with graphics, sound, text, files and file systems, common data types such as numbers and colours, designing motion and introducing randomness into programs. These concepts will be applied to the creation of interactive installations and artworks, and students will make a prototype system. This course provides a series of reusable learning resources that students can refer back to in subsequent courses."
ADAD2402,Tangible and Embodied Interactions,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ADAD2402/, , ,https://handbook.artdesign.unsw.edu.au/scripts/getoutline.php,"This course explores how we can interact with electronic media, through the creation of bespoke physical interfaces and works that go beyond the conventions of the keyboard and mouse - to open up new ways of experiencing, and interacting with digital media, and worlds around and within us. We look at the body as a portal and the interface as prosthesis, amplifier and as transforming mirror."
